n,d,outlier_fraction,outlier_mag,trial,s,true_cv,true_M,cv_hat,pilot_cv,M_hat,cv_rel_error,M_rel_error
1000,3,0.0,10.0,2,30,0.6625855174916219,6.889022080403152,0.6064770223419863,0.6064770223419863,3.143623631790097,0.0846811372546262,0.543676359997074
1000,3,0.0,10.0,2,50,0.6625855174916219,6.889022080403152,0.4865010669146212,0.4865010669146212,2.408214551850264,0.2657535456609602,0.6504272270079104
1000,3,0.0,10.0,2,100,0.6625855174916219,6.889022080403152,0.5657498230582356,0.5657498230582356,3.2458803153909757,0.14614822068550676,0.5288329348479859
1000,3,0.01,2.0,0,10,0.6194948810036581,4.431036671722072,0.5694757730789847,0.5694757730789847,1.8467279299263712,0.0807417614874175,0.5832289220913487
1000,3,0.01,2.0,0,30,0.6194948810036581,4.431036671722072,0.7572266643118983,0.7572266643118983,3.3332537040137393,0.2223291709611833,0.24774856292978772
1000,3,0.01,2.0,0,50,0.6194948810036581,4.431036671722072,0.6486310158721389,0.6486310158721389,3.1927793681559797,0.04703208333421034,0.27945092656722653
1000,3,0.01,2.0,0,100,0.6194948810036581,4.431036671722072,0.6149352433099128,0.6149352433099128,4.159881783422331,0.007360250800391068,0.06119445817954834
1000,3,0.01,2.0,1,10,0.6419604984348997,5.780451621515172,0.4000804235725638,0.4000804235725638,1.5824568921181699,0.37678342429485884,0.7262399210767244
1000,3,0.01,2.0,1,30,0.6419604984348997,5.780451621515172,0.8190352644248491,0.8190352644248491,4.784801304414169,0.27583436429758196,0.17224438197789516
1000,3,0.01,2.0,1,50,0.6419604984348997,5.780451621515172,0.6079339961629042,0.6079339961629042,2.8724454607383425,0.05300404363656656,0.5030759447848442
1000,3,0.01,2.0,1,100,0.6419604984348997,5.780451621515172,0.6955597718399543,0.6955597718399543,5.877067224240258,0.08349310204557717,0.016714196234335208
1000,3,0.01,2.0,2,10,0.6478534945181104,7.295799872829969,0.2930991569586942,0.2930991569586942,1.4670815443760894,0.5475842000717945,0.7989142287414439
1000,3,0.01,2.0,2,30,0.6478534945181104,7.295799872829969,0.6923925950163718,0.6923925950163718,2.5668647461693066,0.06874872309115317,0.6481722647398159
1000,3,0.01,2.0,2,50,0.6478534945181104,7.295799872829969,0.4564407852940977,0.4564407852940977,2.9866509696253263,0.295456782812278,0.590634197526743
1000,3,0.01,2.0,2,100,0.6478534945181104,7.295799872829969,0.6771914426858274,0.6771914426858274,3.5602580228688057,0.04528484976304614,0.5120126531804364
1000,3,0.01,5.0,0,10,0.9275708025452007,9.067911114745035,0.6433359387601794,0.6433359387601794,2.338737415780496,0.3064292914407152,0.7420864203247922
1000,3,0.01,5.0,0,30,0.9275708025452007,9.067911114745035,0.9650168207278521,0.9650168207278521,5.376662382998808,0.040369983703563816,0.40706714975889075
1000,3,0.01,5.0,0,50,0.9275708025452007,9.067911114745035,0.9027608919027161,0.9027608919027161,5.3657473653594465,0.02674718800377033,0.4082708467847265
1000,3,0.01,5.0,0,100,0.9275708025452007,9.067911114745035,0.8825395035032886,0.8825395035032886,7.624389163772475,0.04854755983947412,0.15919013019716258
1000,3,0.01,5.0,1,10,0.8826442516694574,9.20078801072338,0.6314479749381614,0.6314479749381614,2.5605959455384,0.28459515400024016,0.7216981912251359
1000,3,0.01,5.0,1,30,0.8826442516694574,9.20078801072338,1.4275814868735839,1.4275814868735839,8.281535901102949,0.6173917001933875,0.09991014992944706
1000,3,0.01,5.0,1,50,0.8826442516694574,9.20078801072338,0.4486898995644034,0.4486898995644034,2.3707168375540313,0.49165261234552976,0.7423354570509617
1000,3,0.01,5.0,1,100,0.8826442516694574,9.20078801072338,0.6438775299722396,0.6438775299722396,3.24174018939743,0.27051297421991694,0.6476671144233266
1000,3,0.01,5.0,2,10,0.8944373892679047,9.492564196854993,0.5488544911825459,0.5488544911825459,2.1424961088252172,0.38636902060659356,0.7742974327700567
