n,true_cv,true_M,cv_hat,M_hat,cost_unif_chebyshev,cost_unif_bernstein,cost_is,tau,branch_taken,oracle_decision,rel_error,in_borderline
1000,1.6822322474532947,4.785774324099834,1.6669011786716381,4.351679993502763,1000,1000,2770.0098668718365,0.5,is,uniform,0.002533881153154439,0
1000,1.6828609678688584,4.797205593998007,1.5958913718264502,4.290624161386626,1000,1000,2770.0098668718365,0.5,is,uniform,0.0001445902073023013,0
1000,1.6824444119691087,4.694431122747657,1.7140134544741037,4.6190880515279265,1000,1000,2770.0098668718365,0.5,is,uniform,0.016894349448241443,0
2000,0.6437859806065077,7.26494190000632,0.7985242541524279,5.246676737166722,2000,695.8016540771678,3047.961886276374,0.5,is,uniform,0.00901070534145963,0
2000,0.6783226328241753,6.987718128416362,0.5672746812122964,2.480207886620854,2000,734.3950354052101,3047.961886276374,0.5,is,uniform,0.014217276599248724,0
2000,0.7008485258315146,10.87323753149392,0.5084601810206388,2.110334387059068,2000,904.5604323951111,3047.961886276374,0.5,is,uniform,0.005151148519147562,0
2000,0.6647636523552978,9.371015606248461,0.686200631157691,4.717185834792868,2000,799.2807397443189,3047.961886276374,0.5,is,uniform,0.012471622322393709,0
2000,0.6503303945228937,7.618833107152736,0.5206793977438496,2.782431122908416,2000,717.2763773531361,3047.961886276374,0.5,is,uniform,0.006197400561576212,0
2000,0.7116392058914187,10.837519913683188,0.6563429824914156,4.6101241569755445,2000,919.4498867172433,3047.961886276374,0.5,is,uniform,0.01074405266095937,0
2000,0.6984542271619008,9.191213698217632,0.7226741792389381,4.04623731771237,2000,841.5975496551691,3047.961886276374,0.5,is,uniform,0.002555491718200991,0
2000,0.6531760108020092,9.05950966881119,0.5407250755421071,2.889358175083832,2000,772.0947091795654,3047.961886276374,0.5,is,uniform,0.006802220996163341,0
2000,0.6722700999610615,5.917746054892996,0.5027397598207456,2.764866712223381,2000,687.9391315719704,3047.961886276374,0.5,is,uniform,0.0027504815827349093,0
2000,0.7041455345419971,8.158001271669198,0.47240920149913807,2.374091592982216,2000,813.5611982931824,3047.961886276374,0.5,uniform_exact,uniform,0.0,0
2000,0.6776575995706522,7.229319530734069,0.6253802202656913,3.343840293870133,2000,741.9733333176847,3047.961886276374,0.5,is,uniform,0.008158480557974614,0
2000,0.6623640231431586,9.28680597708695,0.765834956173804,4.606709760033966,2000,792.9316579825959,3047.961886276374,0.5,is,uniform,0.0036934331600662084,0
2000,0.9816612409123018,11.124163624423396,0.9389589966374279,5.652468752514771,2000,1414.083017984169,3047.961886276374,0.5,is,uniform,0.024180842647295815,0
2000,1.019893147231907,10.771710935140439,0.4589062954852428,2.353584135334401,2000,1482.7225254275493,3047.961886276374,0.5,uniform_exact,uniform,0.0,0
2000,1.0038984191058524,11.152323945467518,0.6947921428027173,4.045764982698756,2000,1461.8652799715167,3047.961886276374,0.5,is,uniform,0.004821951939010687,0
2000,2.485939595674491,27.10730987984548,0.5651406886858524,2.925872892736239,2000,2000,3047.961886276374,0.5,is,uniform,0.020129487980355677,1
2000,2.4574092914423638,26.830979453268434,0.5170253989908393,2.884779913140674,2000,2000,3047.961886276374,0.5,is,uniform,0.012610311150768654,1
2000,2.4875934157876274,27.001639859771334,0.7250777660740342,3.369100451573609,2000,2000,3047.961886276374,0.5,is,uniform,0.015773558427067933,1
2000,0.6522247884106012,6.7974888408872705,0.685835517034147,4.70227203808286,2000,690.8795354216088,3047.961886276374,0.5,is,uniform,0.005062754495819759,0
2000,0.708592555862065,7.3196862152942685,0.5109386608711484,2.1972991087564315,2000,790.6074475854836,3047.961886276374,0.5,is,uniform,0.007863685628999435,0
2000,0.6266465193598646,6.766098028970186,0.5411355542740387,2.6535751397715157,2000,655.107760504205,3047.961886276374,0.5,is,uniform,0.025553563623834364,0
2000,1.187664640127493,10.482197021947206,1.1751435152580587,6.844781424150301,2000,1864.9588252464846,3047.961886276374,0.5,is,uniform,0.0009636750163263077,0
2000,1.169122399391696,10.541280528053289,1.2608339529622323,8.817967634418261,2000,1820.7383665351958,3047.961886276374,0.5,is,uniform,0.005485368757602567,0
2000,1.2297958209577402,10.40504305776103,1.2641686738371851,9.321198727305188,2000,1970.1608002574487,3047.961886276374,0.5,is,uniform,0.010646843366556708,0
