n,true_cv,true_M,M_hat,tau,tau_name,s,branch_taken,oracle_decision,rel_error,in_borderline
1000,0.668926440883736,6.047119721303887,1.9412178072885848,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.668926440883736,6.047119721303887,1.9412178072885848,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.668926440883736,6.047119721303887,2.78983327190557,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.668926440883736,6.047119721303887,2.78983327190557,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.668926440883736,6.047119721303887,2.78983327190557,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.668926440883736,6.047119721303887,2.9417929721679017,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.668926440883736,6.047119721303887,2.9417929721679017,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.668926440883736,6.047119721303887,2.9417929721679017,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.668926440883736,6.047119721303887,2.9599037308614444,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.668926440883736,6.047119721303887,2.9599037308614444,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.668926440883736,6.047119721303887,2.9599037308614444,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.6096939094021688,4.754850690421404,1.9835648441158888,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.6096939094021688,4.754850690421404,1.9835648441158888,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.6096939094021688,4.754850690421404,1.9835648441158888,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.6096939094021688,4.754850690421404,3.6493058472464335,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.6096939094021688,4.754850690421404,3.6493058472464335,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.6096939094021688,4.754850690421404,3.6493058472464335,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.6096939094021688,4.754850690421404,3.3642118203538662,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.6096939094021688,4.754850690421404,3.3642118203538662,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.6096939094021688,4.754850690421404,3.3642118203538662,3.0,3.0,50,uniform_exact,uniform,0.0,0
